org_id|name|remap_id
DB00001|Lepirudin|0
DB00002|Cetuximab|1
DB00003|Dornase alfa|2
DB00004|Denileukin diftitox|3
DB00005|Etanercept|4
DB00007|Leuprolide|5
DB00008|Peginterferon alfa-2a|6
DB00009|Alteplase|7
DB00010|Sermorelin|8
DB00013|Urokinase|9
DB00014|Goserelin|10
DB00015|Reteplase|11
DB00016|Erythropoietin|12
DB00017|Salmon calcitonin|13
DB00019|Pegfilgrastim|14
DB00020|Sargramostim|15
DB00022|Peginterferon alfa-2b|16
DB00023|Asparaginase Escherichia coli|17
DB00026|Anakinra|18
DB00027|Gramicidin D|19
DB00030|Insulin human|20
DB00031|Tenecteplase|21
DB00035|Desmopressin|22
DB00036|Coagulation factor VIIa Recombinant Human|23
DB00038|Oprelvekin|24
DB00039|Palifermin|25
DB00040|Glucagon|26
DB00041|Aldesleukin|27
DB00043|Omalizumab|28
DB00046|Insulin lispro|29
DB00047|Insulin glargine|30
DB00048|Collagenase clostridium histolyticum|31
DB00049|Rasburicase|32
DB00051|Adalimumab|33
DB00052|Somatotropin|34
DB00053|Imiglucerase|35
DB00056|Gemtuzumab ozogamicin|36
DB00059|Pegaspargase|37
DB00060|Interferon beta-1a|38
DB00063|Eptifibatide|39
DB00065|Infliximab|40
DB00067|Vasopressin|41
DB00068|Interferon beta-1b|42
DB00072|Trastuzumab|43
DB00073|Rituximab|44
DB00074|Basiliximab|45
DB00078|Ibritumomab tiuxetan|46
DB00080|Daptomycin|47
DB00082|Pegvisomant|48
DB00085|Pancrelipase|49
DB00087|Alemtuzumab|50
DB00088|Alglucerase|51
DB00090|Laronidase|52
DB00091|Cyclosporine|53
DB00092|Alefacept|54
DB00095|Efalizumab|55
DB00099|Filgrastim|56
DB00100|Coagulation Factor IX (Recombinant)|57
DB00102|Becaplermin|58
DB00103|Agalsidase beta|59
DB00104|Octreotide|60
DB00106|Abarelix|61
DB00107|Oxytocin|62
DB00108|Natalizumab|63
DB00109|Enfuvirtide|64
DB00110|Palivizumab|65
DB00111|Daclizumab|66
DB00112|Bevacizumab|67
DB00115|Cyanocobalamin|68
DB00121|Biotin|69
DB00122|Choline|70
DB00126|Ascorbic acid|71
DB00128|Aspartic acid|72
DB00130|L-Glutamine|73
DB00131|Adenosine phosphate|74
DB00133|Serine|75
DB00136|Calcitriol|76
DB00137|Lutein|77
DB00139|Succinic acid|78
DB00140|Riboflavin|79
DB00145|Glycine|80
DB00146|Calcifediol|81
DB00151|Cysteine|82
DB00152|Thiamine|83
DB00153|Ergocalciferol|84
DB00158|Folic acid|85
DB00159|Icosapent|86
DB00162|Vitamin A|87
DB00163|Vitamin E|88
DB00165|Pyridoxine|89
DB00166|Lipoic acid|90
