org_id|remap_id
Drug->interacts-with->Drug|0
Drug->causes->SideEffect|1
Drug->binds->Target|2
Drug->binds->Enzyme|3
Drug->binds->Carrier|4
Drug->binds->Transporter|5
Drug->involves-in->Pathway|6
Pathway->belongs-to->Category|7
Drug->affects-on->AffectedOrganism|8
Drug->belongs-to->Category|9
Drug->belongs-to->DirectParentClass|10
Drug->belongs-to->KingdomClass|11
Drug->belongs-to->SuperClass|12
Drug->belongs-to->Class|13
Drug->belongs-to->SubClass|14
Drug->belongs-to->AlternativeParentClass|15
Drug->belongs-to->SubstituentClass|16
Drug->belongs-to->Level1ATCCode|17
Drug->belongs-to->Level2ATCCode|18
Drug->belongs-to->Level3ATCCode|19
Drug->belongs-to->Level4ATCCode|20
Protein->expressed-by->Gene|21
Protein->is-in->ProteinFamily|22
Protein->lives-in->GOCellularComponent|23
Protein->involves-in->GOBiologicalProcess|24
Protein->has-function->GOMolecularFunction|25
Drug->has->PubChemSubstructure|26
Drug->has->MACCSSubstructure|27
