org_id|name|remap_id
C0000810|Incomplete spontaneous abortion|0
C0001126|Renal tubular acidosis|1
C0001144|Acne Vulgaris|2
C0001206|Acromegaly|3
C0001207|Hypersomatotropic gigantism|4
C0001261|Actinomycosis|5
C0001263|Abdominal actinomycosis|6
C0001264|Cervicofacial actinomycosis|7
C0001403|Addison Disease|8
C0001622|Adrenal Gland Hyperfunction|9
C0001627|Congenital adrenal hyperplasia|10
C0001957|Alcohol Withdrawal Delirium|11
C0001973|Alcoholic Intoxication, Chronic|12
C0002170|Alopecia|13
C0002171|Alopecia Areata|14
C0002351|Altitude Sickness|15
C0002390|Extrinsic allergic alveolitis|16
C0002395|Alzheimer's Disease|17
C0002438|Amebiasis|18
C0002440|Chronic intestinal amebiasis|19
C0002453|Amenorrhea|20
C0002726|Amyloidosis|21
C0002736|Amyotrophic Lateral Sclerosis|22
C0002792|anaphylaxis|23
C0002874|Aplastic Anemia|24
C0002875|Cooley's anemia|25
C0002880|Autoimmune hemolytic anemia|26
C0002888|Anemia, Megaloblastic|27
C0002892|Anemia, Pernicious|28
C0002895|Anemia, Sickle Cell|29
C0002962|Angina Pectoris|30
C0002963|Angina Pectoris, Variant|31
C0002986|Fabry Disease|32
C0002994|Angioedema|33
C0003175|Anthrax disease|34
C0003177|Cutaneous anthrax|35
C0003467|Anxiety|36
C0003469|Anxiety Disorders|37
C0003492|Aortic coarctation|38
C0003615|Appendicitis|39
C0003850|Arteriosclerosis|40
C0003862|Arthralgia|41
C0003864|Arthritis|42
C0003868|Arthritis, Gouty|43
C0003872|Arthritis, Psoriatic|44
C0003873|Rheumatoid Arthritis|45
C0003950|Ascariasis|46
C0003962|Ascites|47
C0004030|Aspergillosis|48
C0004031|Aspergillosis, Allergic Bronchopulmonary|49
C0004096|Asthma|50
C0004153|Atherosclerosis|51
C0004238|Atrial Fibrillation|52
C0004245|Atrioventricular Block|53
C0004352|Autistic Disorder|54
C0004364|Autoimmune Diseases|55
C0004604|Back Pain|56
C0004626|Pneumonia, Bacterial|57
C0004771|Bartonella Infections|58
C0004945|Bejel|59
C0005138|Berylliosis|60
C0005283|beta Thalassemia|61
C0005424|Biliary Tract Diseases|62
C0005586|Bipolar Disorder|63
C0005587|Depression, Bipolar|64
C0005684|Malignant neoplasm of urinary bladder|65
C0005697|Neurogenic Urinary Bladder|66
C0005699|Blast Phase|67
C0005716|Blastomycosis|68
C0005743|Blepharoconjunctivitis|69
C0006057|Botulism|70
C0006060|Boutonneuse Fever|71
C0006105|Brain Abscess|72
C0006114|Cerebral Edema|73
C0006118|Brain Neoplasms|74
C0006181|Brill-Zinsser Disease|75
C0006266|Bronchial Spasm|76
C0006267|Bronchiectasis|77
C0006277|Bronchitis|78
C0006309|Brucellosis|79
C0006413|Burkitt Lymphoma|80
C0006434|Burn injury|81
C0006444|Bursitis|82
C0006840|Candidiasis|83
C0006846|Cutaneous Candidiasis|84
C0006848|Mucocutaneous candidiasis|85
C0006849|Oral candidiasis|86
C0007102|Malignant tumor of colon|87
C0007115|Malignant neoplasm of thyroid|88
C0007117|Basal cell carcinoma|89
C0007131|Non-Small Cell Lung Carcinoma|90
C0007134|Renal Cell Carcinoma|91
C0007137|Squamous cell carcinoma|92
C0007138|Carcinoma, Transitional Cell|93
C0007194|Hypertrophic Cardiomyopathy|94
C0007780|Cerebral Embolism|95
C0007820|Cerebrovascular Disorders|96
C0007847|Malignant tumor of cervix|97
C0007947|Chancroids|98
C0008049|Chickenpox|99
C0008149|Chlamydia Infections|100
C0008311|Cholangitis|101
C0008312|Primary biliary cirrhosis|102
C0008325|Cholecystitis|103
C0008350|Cholelithiasis|104
C0008354|Cholera|105
C0008513|Chorioretinitis|106
C0008526|Choroiditis|107
C0008533|Hemophilia B|108
C0008582|Chromoblastomycosis|109
C0008677|Bronchitis, Chronic|110
C0009062|Clostridium Infections|111
C0009088|Cluster Headache|112
C0009186|Coccidioidomycosis|113
C0009324|Ulcerative Colitis|114
C0009443|Common Cold|115
C0009663|Condylomata Acuminata|116
C0009766|Allergic Conjunctivitis|117
C0009768|Bacterial conjunctivitis|118
C0009769|Conjunctivitis, Giant Papillary|119
C0009770|Inclusion conjunctivitis|120
C0009773|Conjunctivitis, Vernal|121
C0009806|Constipation|122
C0010032|Corneal abrasion|123
C0010043|Corneal Ulcer|124
C0010200|Coughing|125
C0010308|Congenital Hypothyroidism|126
C0010346|Crohn Disease|127
C0010414|Infection by Cryptococcus neoformans|128
C0010417|Cryptorchidism|129
C0010418|Cryptosporidiosis|130
C0010543|Cyclitis|131
C0010674|Cystic Fibrosis|132
C0010691|Cystinuria|133
C0010692|Cystitis|134
C0010930|Dacryocystitis|135
C0011581|Depressive disorder|136
C0011606|Exfoliative dermatitis|137
C0011608|Dermatitis Herpetiformis|138
C0011615|Dermatitis, Atopic|139
C0011616|Contact Dermatitis|140
C0011633|Dermatomyositis|141
C0011644|Scleroderma|142
C0011849|Diabetes Mellitus|143
C0011854|Diabetes Mellitus, Insulin-Dependent|144
C0011860|Diabetes Mellitus, Non-Insulin-Dependent|145
C0011881|Diabetic Nephropathy|146
C0011884|Diabetic Retinopathy|147
C0011974|Diaper Rash|148
C0011991|Diarrhea|149
C0012546|Diphtheria|150
